history_id,station_name,province,lon,lat,elev (m),annual_rain (mm)
820,BURQUITLAM VANCOUVER GOLF COURSE,BC,-122.877,49.2517,122,1796
827,CHILLIWACK,BC,-121.925,49.1722,11,1648
841,COQUITLAM COMO LAKE AVE,BC,-122.866,49.2694,160,1822
845,CHILLIWACK R HATCHERY,BC,-121.704,49.08,225,1408
848,CULTUS LAKE,BC,-121.983,49.0833,46,1471
863,DELTA PEBBLE HILL,BC,-123.083,49,51,857
866,DELTA TSAWWASSEN BEACH,BC,-123.093,49.0109,2,902
875,HANEY EAST,BC,-122.558,49.2044,31,1707
878,HANEY UBC RF ADMIN,BC,-122.573,49.2645,147,2101
881,HATZIC LAKE,BC,-122.25,49.1667,25,1912
883,HOLLYBURN RIDGE,BC,-123.183,49.3833,930,2139
889,IOCO REFINERY,BC,-122.883,49.3,53,1987
896,LAIDLAW,BC,-121.579,49.3564,37,2068
912,MISSION,BC,-122.333,49.1333,60,1641
913,MISSION WEST ABBEY,BC,-122.271,49.1525,197,1773
926,N VANC GROUSE MTN RESORT,BC,-123.078,49.3811,1103,1819
933,N VANCOUVER 2ND NARROWS,BC,-123.015,49.2979,4,1807
936,N VANCOUVER WHARVES,BC,-123.115,49.3148,7,1720
942,PITT POLDER,BC,-122.631,49.2732,5,2171
944,POINT ATKINSON,BC,-123.265,49.3304,14,1290
961,PORT MOODY GLENAYRE,BC,-122.881,49.2792,130,1901
965,RICHMOND NATURE PARK,BC,-123.093,49.1708,3,1222
967,SARDIS,BC,-121.895,49.0819,107,1414
970,SEYMOUR FALLS,BC,-122.971,49.4403,244,3799
971,STAVE FALLS,BC,-122.367,49.2333,110,2255
973,STEVESTON,BC,-123.189,49.1306,0,1023
974,SUMAS CANAL,BC,-122.11,49.1133,9,1804
977,SURREY KWANTLEN PARK,BC,-122.86,49.1922,78,1541
978,SURREY MUNICIPAL HALL,BC,-122.828,49.1067,76,1276
979,SURREY NEWTON,BC,-122.847,49.1333,73,1361
1013,VANCOUVER UBC,BC,-123.25,49.25,76,1222
1033,WHALLEY FOREST NURSERY,BC,-122.833,49.1833,84,1490
1039,WHITE ROCK STP,BC,-122.784,49.0186,13,1059
1059,N VANCOUVER CLEVELAND,BC,-123.107,49.3597,157,2307
1079,N VAN SEYMOUR HATCHERY,BC,-122.967,49.4375,177,3673
1081,N VANC SONORA DR,BC,-123.097,49.3625,183,2270
1095,HOPE A,BC,-121.498,49.3683,39,1754
1103,HOPE SLIDE,BC,-121.233,49.2667,685,927
1109,LILLOOET CEDAR FALLS,BC,-121.867,50.6,555,296
1113,LILLOOET SETON BCHPA,BC,-121.924,50.6733,198,296
1129,SHALALTH,BC,-122.241,50.7283,244,432
1147,HEDLEY,BC,-120.077,49.3572,517,283
1151,HIGHLAND VALLEY LORNEX,BC,-121.017,50.4667,1268,217
1153,JOE RICH CREEK,BC,-119.126,49.8572,875,414
1157,KELOWNA A,BC,-119.378,49.9561,430,286
1165,KELOWNA PC BURNETTS NURSERY,BC,-119.484,49.8742,350,255
1177,MCCULLOCH,BC,-119.2,49.8,1250,341
1182,MERRITT STP,BC,-120.801,50.1142,609,234
1191,OKANAGAN CENTRE,BC,-119.445,50.0561,370,322
1196,OLIVER,BC,-119.564,49.1658,315,265
1198,OLIVER STP,BC,-119.545,49.179,297,260
1204,OSOYOOS WEST,BC,-119.443,49.0319,297,258
1206,OYAMA,BC,-119.367,50.1142,440,353
1208,PEACHLAND,BC,-119.717,49.7833,345,302
1217,PENTICTON A,BC,-119.602,49.4631,344,271
1220,PRINCETON A,BC,-120.513,49.4678,702,229
1228,SUMMERLAND CDA,BC,-119.65,49.5667,454,247
1232,VERNON BELLA VISTA,BC,-119.31,50.2642,427,329
1234,VERNON COLDSTREAM RANCH,BC,-119.2,50.2167,482,333
1237,VERNON NORTH,BC,-119.271,50.3443,538,349
1243,WINFIELD,BC,-119.416,50.0366,506,278
1254,BEAVERDELL NORTH,BC,-119.047,49.4783,838,323
1260,GRAND FORKS,BC,-118.466,49.0262,532,373
1268,MIDWAY,BC,-118.772,49.0037,571,357
1273,BILLINGS,BC,-118.228,49.0168,519,412
1278,CASTLEGAR A,BC,-117.632,49.2964,496,544
1280,CASTLEGAR BCHPA DAM,BC,-117.774,49.3434,435,525
1287,CRESTON,BC,-116.518,49.0971,610,498
1289,CRESTON WPCC,BC,-116.529,49.0956,538,447
1290,DEER PARK,BC,-118.05,49.4167,485,397
1291,DUNCAN LAKE DAM,BC,-116.972,50.2387,549,600
1293,FAUQUIER,BC,-118.067,49.8719,490,574
1299,KASLO,BC,-116.921,49.9127,600,668
1305,LISTER,BC,-116.458,49.032,660,448
1307,NAKUSP,BC,-117.8,50.25,457,635
1313,NELSON NE,BC,-117.206,49.5861,570,729
1318,NEW DENVER,BC,-117.37,49.9958,568,670
1325,ROSSLAND MACLEAN,BC,-117.8,49.0833,1085,489
1330,SOUTH SLOCAN,BC,-117.523,49.4601,457,661
1336,WARFIELD,BC,-117.75,49.1,606,556
1343,NELSON RIXEN CREEK,BC,-117.399,49.5123,760,681
1348,BAYNES LAKE KOOTENAY RIVER,BC,-115.221,49.226,800,334
1355,CRANBROOK A,BC,-115.782,49.6122,940,274
1362,ELKO,BC,-115.117,49.3,931,433
1363,FERNIE,BC,-115.073,49.4887,1001,871
1367,FORDING RIVER COMINCO,BC,-114.855,50.1486,1585,345
1370,FT STEELE DANDY CRK,BC,-115.461,49.5239,856,416
1379,KIMBERLEY PCC,BC,-115.962,49.6316,889,275
1381,KOOTENAY NP KTNY CRSG,BC,-116.051,50.8833,1170,336
1384,KOOTENAY NP WEST GATE,BC,-116.061,50.6308,935,329
1385,MARYSVILLE,BC,-115.957,49.6371,960,260
1392,SPARWOOD,BC,-114.883,49.7453,1138,416
1397,WARDNER KTNY HATCHERY,BC,-115.46,49.4732,760,329
1398,WASA,BC,-115.631,49.8073,970,345
1415,BARRIERE,BC,-120.117,51.1833,415,350
1418,BLUE RIVER A,BC,-119.29,52.129,690,697
1422,BRIDGE LAKE 2,BC,-120.793,51.5038,1155,373
1424,BUFFALO LAKE,BC,-121.083,51.7086,989,352
1442,CRISS CREEK,BC,-120.728,51.0297,1122,288
1443,DARFIELD,BC,-120.183,51.2918,466,347
1444,EAGLE BAY,BC,-119.217,50.9333,412,496
1452,HEFFLEY CREEK,BC,-120.183,50.9167,683,270
1461,KAMLOOPS A,BC,-120.442,50.7022,345,209
1472,KAMLOOPS VALLEYVIEW,BC,-120.253,50.675,347,210
1483,LUMBY SIGALET RD,BC,-118.767,50.3667,560,461
1490,MCLURE,BC,-120.222,51.0467,381,344
1496,100 MILE HOUSE,BC,-121.303,51.6469,1059,291
1497,100 MILE HOUSE 6NE,BC,-121.217,51.6814,928,360
1499,RED LAKE,BC,-120.8,50.935,1162,293
1504,SALMON ARM 2,BC,-119.283,50.7,396,372
1507,SALMON ARM A,BC,-119.234,50.6856,527,448
1516,SILVER CREEK,BC,-119.35,50.5452,419,397
1529,VAVENBY,BC,-119.778,51.5761,445,360
1534,WESTWOLD,BC,-119.751,50.4689,609,283
1555,BRISCO,BC,-116.258,50.8206,823,329
1558,CARIBOO LODGE,BC,-119.472,52.7195,1096,523
1566,GLACIER NP ROGERS PASS,BC,-117.517,51.3017,1330,614
1568,GOLDEN A,BC,-116.982,51.2992,785,313
1571,GOLDSTREAM RIVER,BC,-118.425,51.6297,700,645
1574,MICA DAM,BC,-118.585,52.0531,579,770
1579,REVELSTOKE AIRPORT RD,BC,-118.166,50.9533,450,611
1597,GLACIER NP MT FIDELITY,BC,-117.701,51.2382,1890,629
1606,BALDONNEL,BC,-120.683,56.2333,686,307
1615,CHETWYND A,BC,-121.627,55.6872,610,315
1620,DAWSON CREEK A,BC,-120.182,55.7417,655,312
1630,FORT ST JOHN A,BC,-120.74,56.2381,695,296
1634,GERMANSEN LANDING,BC,-124.701,55.7855,766,307
1668,TAYLOR FLATS,BC,-120.688,56.1667,517,304
1679,CASSIAR,BC,-129.833,59.2833,1078,325
1683,DEASE LAKE,BC,-130.011,58.4283,807,268
1686,FORT NELSON A,BC,-122.597,58.8364,382,310
1701,MUNCHO LAKE,BC,-125.767,58.93,837,329
1719,ATLIN,BC,-133.7,59.5667,674,202
1741,PLEASANT CAMP,BC,-136.367,59.45,274,726
1758,BEAVER CREEK A,YT,-140.868,62.4103,649,295
1769,BURWASH A,YT,-139.05,61.3667,806,202
1772,CARCROSS,YT,-134.698,60.1743,660,151
1773,CARMACKS,YT,-136.3,62.1,525,188
1782,DAWSON A,YT,-139.128,64.0431,370,204
1790,DRURY CREEK,YT,-134.39,62.2019,609,227
1796,FARO A,YT,-133.373,62.2069,716,216
1815,JOHNSONS CROSSING,YT,-133.3,60.4833,690,226
1818,KLONDIKE,YT,-138.216,64.4539,973,242
1821,KOMAKUK BEACH A,YT,-140.183,69.5833,7,84
1829,MAYO A,YT,-135.867,63.6167,504,205
1832,MAYO ROAD,YT,-135.183,60.8764,655,222
1833,MCQUESTEN,YT,-137.523,63.5942,458,216
1840,OGILVIE RIVER,YT,-138.305,65.3603,597,202
1841,OLD CROW A,YT,-139.839,67.5706,250,144
1845,OTTER FALLS NCPC,YT,-137.05,61.0333,830,199
1848,PELLY RANCH,YT,-137.311,62.83,445,196
1854,ROSS RIVER A,YT,-132.433,61.9667,705,164
1860,SHINGLE POINT A,YT,-137.217,68.95,49,125
1874,SWIFT RIVER,YT,-131.183,60,891,285
1877,TAKHINI RIVER RANCH,YT,-135.573,60.9458,671,152
1879,TESLIN A,YT,-132.736,60.1741,705,196
1885,TUCHITUA,YT,-129.217,60.9333,724,275
1887,WATSON LAKE A,YT,-128.822,60.1165,687,260
1893,WHITEHORSE A,YT,-135.069,60.7095,706,163
1896,WHITEHORSE RIVERDALE,YT,-135.027,60.71,640,169
1912,CAPE PARRY A,NT,-124.717,70.1667,87,69
1925,FORT GOOD HOPE A,NT,-128.651,66.2408,81,142
1930,FORT LIARD A,NT,-123.467,60.235,216,308
1936,FORT MCPHERSON A,NT,-134.86,67.4078,35,151
1944,FORT RELIANCE,NT,-109.167,62.7167,166,170
1947,FORT RESOLUTION A,NT,-113.69,61.1808,160,173
1951,FORT SIMPSON A,NT,-121.237,61.7603,169,225
1959,FORT SMITH A,NT,-111.962,60.0203,205,242
1968,HAY RIVER A,NT,-115.783,60.8397,165,201
1972,HAY RIVER PARADISE GDNS,NT,-116,60.65,213,231
1979,INUVIK A,NT,-133.483,68.3042,68,118
1992,NICHOLSON PENINSULA,NT,-128.967,69.9333,89,66
1994,NORMAN WELLS A,NT,-126.8,65.2825,73,178
2027,TUKTOYAKTUK,NT,-133,69.45,18,73
2029,TUKTOYAKTUK A,NT,-133.026,69.4333,4,77
2039,WRIGLEY A,NT,-123.437,63.2094,150,208
2042,YELLOWKNIFE A,NT,-114.44,62.4628,206,164
2046,YELLOWKNIFE HYDRO,NT,-114.25,62.6667,159,165
2047,YOHIN,NT,-123.742,61.2419,204,127
2064,BAKER LAKE A,NU,-96.0778,64.2989,19,146
2077,CLINTON POINT,NU,-120.8,69.5833,101,92
2080,KUGLUKTUK A,NU,-115.144,67.8167,23,142
2084,ARVIAT A,NU,-94.0667,61.1,10,174
2086,CORAL HARBOUR A,NU,-83.3594,64.1933,62,159
2106,JENNY LIND ISLAND A,NU,-101.733,68.65,18,69
2107,LADY FRANKLIN POINT A,NU,-113.217,68.5,16,68
2110,PELLY BAY,NU,-89.7167,68.4333,326,108
2112,KUGAARUK A,NU,-89.7972,68.5406,16,117
2117,RANKIN INLET A,NU,-92.1167,62.8167,32,185
2126,SHEPHERD BAY A,NU,-93.4333,68.8167,43,79
2141,ALERT,NU,-62.2806,82.5178,30,16
2155,FOX FIVE,NU,-63.7889,67.5356,584,34
2162,BYRON BAY A,NU,-109.067,68.75,92,68
2163,CAMBRIDGE BAY A,NU,-105.138,69.1081,31,75
2169,CAPE DORSET A,NU,-76.525,64.2303,48,160
2173,CAPE DYER A,NU,-61.6167,66.5833,393,99
2175,CAPE HOOPER,NU,-66.8153,68.4725,390,49
2179,CLYDE A,NU,-68.5167,70.4861,27,52
2186,DEWAR LAKES,NU,-71.1667,68.65,527,105
2193,EUREKA A,NU,-85.9333,79.9833,10,28
2200,GLADMAN POINT A,NU,-97.8,68.6667,14,70
2204,HALL BEACH A,NU,-81.2425,68.7758,9,99
2216,IQALUIT A,NU,-68.55,63.75,34,192
2230,LONGSTAFF BLUFF,NU,-75.1408,68.8986,161,90
2231,MACKAR INLET,NU,-85.6667,68.3,395,88
2238,NANISIVIK A,NU,-84.6167,72.9833,642,80
2252,POND INLET A,NU,-77.9689,72.6894,62,76
2263,RESOLUTE CARS,NU,-94.9694,74.7169,68,55
2274,TALOYOAK A,NU,-93.5833,69.55,27,80
2290,ULUKHAKTOK A,NT,-117.806,70.7628,36,73
2295,MOULD BAY A,NT,-119.333,76.2333,12,27
2299,SACHS HARBOUR A,NT,-125.267,72,86,51
2311,ANDREW,AB,-112.233,54.0167,610,323
2328,BRETON,AB,-114.483,53.1667,843,402
2332,BRIGHTVIEW,AB,-113.717,52.9833,815,384
2333,BROWNFIELD,AB,-111.469,52.3192,755,318
2342,CALMAR,AB,-113.863,53.2897,720,372
2346,CAMROSE,AB,-112.817,53.05,739,336
2347,CAMROSE 2,AB,-112.8,52.95,738,339
2351,CHAILEY,AB,-111.25,53.55,670,305
2363,CORONATION A,AB,-111.45,52.0667,791,279
2369,DAKOTA WEST,AB,-113.95,52.75,865,389
2385,EDMONTON CITY CENTRE A,AB,-113.518,53.5733,671,346
2387,EDMONTON NAMAO A,AB,-113.467,53.6667,688,339
2394,EDMONTON STONY PLAIN,AB,-114.108,53.5475,766,379
2395,EDMONTON WOODBEND,AB,-113.75,53.4167,671,380
2403,ELK POINT,AB,-111.067,53.8833,605,323
2409,FABYAN,AB,-111,52.9667,698,317
2414,FORESTBURG PLANT SITE,AB,-112.12,52.4675,663,323
2417,FORT SASKATCHEWAN,AB,-113.183,53.7167,620,346
2431,GWYNNE,AB,-113.183,52.95,768,377
2455,KINSELLA RANCH,AB,-111.517,53,705,309
2459,LAVOY,AB,-111.867,53.5333,670,340
2468,LLOYDMINSTER A,AB,-110.072,53.3092,668,328
2474,HOLDEN SOUTH,AB,-112.267,53.0833,709,323
2486,MONITOR,AB,-110.55,52.0167,732,304
2501,PARADISE VALLEY,AB,-110.35,53.1167,658,285
2511,RANFURLY,AB,-111.65,53.45,686,309
2513,RANFURLY 2NW,AB,-111.733,53.4167,673,347
2528,ST LINA,AB,-111.45,54.3,633,364
2542,SION,AB,-114.117,53.8833,701,357
2553,SULLIVAN LAKE,AB,-111.95,52.05,811,292
2560,TOFIELD NORTH,AB,-112.75,53.55,701,365
2570,VEGREVILLE CDA,AB,-112.033,53.4833,636,316
2591,WARWICK,AB,-111.983,53.65,610,312
2595,VEGREVILLE,AB,-112.098,53.5053,639,291
2601,WINFIELD,AB,-114.583,52.95,910,473
2616,HORBURG,AB,-115.2,52.4,1036,467
2618,UNIVERSITY OF ALBERTA METABOLIC CENTRE,AB,-113.533,53.5167,668,354
2676,CRAIGMYLE,AB,-112.283,51.7667,846,311
2686,DRUMHELLER ANDREW,AB,-112.867,51.4667,719,287
2692,ECKVILLE SOUTH,AB,-114.391,52.2847,960,396
2694,ELNORA,AB,-113.195,51.9639,930,323
2695,EMPRESS,AB,-110.006,50.9558,612,229
2713,HUXLEY,AB,-113.433,51.9106,914,318
2719,LACOMBE CDA,AB,-113.75,52.4667,847,343
2730,MADDEN,AB,-114.324,51.5042,1138,340
2731,MARKERVILLE,AB,-114.133,52.1167,914,407
2738,OLDS,AB,-114.1,51.7833,1040,363
2741,OYEN CAPPON,AB,-110.517,51.1667,793,262
2755,RED DEER,AB,-113.792,52.3108,847,374
2757,RED DEER A,AB,-113.893,52.1786,905,366
2765,SCOLLARD,AB,-112.867,51.9333,853,293
2767,SCOTFIELD,AB,-111.364,51.5834,762,260
2769,SIBBALD,AB,-110.248,51.475,725,238
2772,SIBBALD WESTGARD,AB,-110.146,51.4247,724,270
2786,SYLVAN LAKE,AB,-114.167,52.35,921,389
2793,TROCHU EQUITY,AB,-113.2,51.7833,854,297
2838,BROOKS AHRC,AB,-111.85,50.55,758,252
2839,BROOKS NORTH,AB,-111.883,50.6167,759,255
2847,CALDWELL,AB,-113.633,49.1667,1286,351
2862,CARDSTON,AB,-113.242,49.1317,1193,319
2870,CARMANGAY VILLAGE,AB,-113.112,50.1244,939,274
2871,CARWAY,AB,-113.376,48.9997,1354,286
2880,CLARESHOLM WATERWORKS,AB,-113.711,50.0189,1008,310
2883,COCHRANE,AB,-114.434,51.1969,1332,313
2886,CONNELLY CREEK,AB,-114.215,49.6161,1249,327
2891,COWLEY OLIN CREEK,AB,-114.067,49.7,1234,292
2893,CLARESHOLM MEADOW CREEK,AB,-113.738,49.9375,1035,314
2902,FOREMOST,AB,-111.446,49.477,892,251
2906,FORT MACLEOD,AB,-113.4,49.7167,950,285
2911,FORT MACLEOD NORTH,AB,-113.283,49.8667,953,288
2912,GLEICHEN,AB,-113.05,50.8833,905,268
2923,HERRONTON EAST,AB,-113.348,50.5997,1056,301
2924,HIGH RIVER,AB,-114.167,50.4833,1219,342
2938,LETHBRIDGE A,AB,-112.8,49.6303,929,273
2943,LETHBRIDGE CDA,AB,-112.767,49.695,910,255
2955,MEDICINE HAT A,AB,-110.721,50.0189,717,237
2963,MONARCH,AB,-113.161,49.8144,947,286
2964,MOSSLEIGH,AB,-113.281,50.6594,1067,306
2965,MOSSLEIGH BURNAY,AB,-113.302,50.7172,945,273
2966,MOUNTAIN VIEW,AB,-113.63,49.127,1339,379
2989,QUEENSTOWN,AB,-112.983,50.6064,940,295
3017,SUFFIELD A,AB,-111.183,50.2667,770,227
3020,TABER,AB,-112.124,49.7919,811,293
3027,UNIVERSITY OF CALGARY,AB,-114.133,51.0833,1112,312
3031,VAUXHALL NORTH,AB,-112.122,50.1825,760,241
3049,OKOTOKS,AB,-113.961,50.7292,1081,376
3052,ADEN,AB,-111.317,49.05,1036,280
