history_id,station_name,province,lon,lat,elev (m),TJan2.5 (degC),TJan1.0 (degC)
1912,CAPE PARRY A,NT,-124.717,70.1667,87,-36.6,-38.3
1919,DELINE CS,NT,-123.433,65.2086,213,-39.2,-41.3
1928,FORT GOOD HOPE CS,NT,-128.644,66.2422,82,-42.5,-44
1932,FORT LIARD,NT,-123.467,60.2333,213,-38.7,-41
1944,FORT RELIANCE,NT,-109.167,62.7167,166,-42.6,-45.6
19511952,FORT SIMPSON COMPOSITE,NT,-121.237,61.7603,169,-41.2,-43.6
1951,FORT SIMPSON A,NT,-121.237,61.7603,169,-41.5,-43.7
1952,FORT SIMPSON CLIMATE,NT,-121.237,61.7603,168,-38.7,-40.9
1959,FORT SMITH A,NT,-111.962,60.0203,205,-39.8,-41.6
1961,FORT SMITH CLIMATE,NT,-111.929,60.0261,203,-36.5,-39.1
1968,HAY RIVER A,NT,-115.783,60.8397,165,-38.2,-40
1970,HAY RIVER CLIMATE,NT,-115.777,60.8389,164,-35.6,-37.5
1979,INUVIK A,NT,-133.483,68.3042,68,-42,-43.9
1982,INUVIK CLIMATE,NT,-133.517,68.3167,103,-37.4,-39.1
1987,LAC LA MARTRE,NT,-117.245,63.1336,271,-41.2,-44
1994,NORMAN WELLS A,NT,-126.8,65.2825,73,-42.7,-44.2
2000,NORMAN WELLS CLIMATE,NT,-126.753,65.2875,94,-43.3,-45.4
2004,PAULATUK,NT,-124.083,69.3578,6,-35.9,-36.9
2015,RAE LAKES,NT,-117.328,64.1117,221,-44,-46
2031,TUKTOYAKTUK,NT,-133.017,69.4333,5,-38.2,-39.5
2042,YELLOWKNIFE A,NT,-114.44,62.4628,206,-41.3,-43
2064,BAKER LAKE A,NU,-96.0778,64.2989,19,-41.8,-43.3
2065,BAKER LAKE CLIMATE,NU,-96,64.3167,51,-39.9,-41.5
2080,KUGLUKTUK A,NU,-115.144,67.8167,23,-40.2,-41.8
2082,KUGLUKTUK CLIMATE,NU,-115.135,67.8172,23,-38.3,-39.4
2086,CORAL HARBOUR A,NU,-83.3594,64.1933,62,-40.3,-41.4
2093,ARVIAT CLIMATE,NU,-94.0667,61.1,10,-38.4,-39.5
2099,GJOA HAVEN CLIMATE,NU,-95.8503,68.6356,42,-42,-43.4
2114,KUGAARUK CLIMATE,NU,-89.7964,68.5375,16,-41.2,-42.5
2117,RANKIN INLET A,NU,-92.1167,62.8167,32,-41.6,-42.5
2144,ALERT CLIMATE,NU,-62.3333,82.5,65,-37.3,-38.3
2158,QIKIQTARJUAQ CLIMATE,NU,-64.0334,67.5474,6,-35.3,-36.8
21632165,CAMBRIDGE BAY COMPOSITE,NU,-105.138,69.1081,31,-41.5,-42.7
2169,CAPE DORSET A,NU,-76.525,64.2303,48,-33.9,-34.9
2170,CAPE DORSET CLIMATE,NU,-76.5304,64.2308,50,-31.4,-32.7
2173,CAPE DYER A,NU,-61.6167,66.5833,393,-38.8,-40.2
2181,CLYDE RIVER CLIMATE,NU,-68.5167,70.4833,27,-38.2,-39.5
2204,HALL BEACH A,NU,-81.2425,68.7758,9,-43,-44.1
2205,GRISE FIORD CLIMATE,NU,-82.9022,76.4228,45,-38.9,-40.3
2207,HALL BEACH CLIMATE,NU,-81.2436,68.7761,8,-41.4,-42.9
2216,IQALUIT A,NU,-68.55,63.75,34,-39,-40.3
2218,IQALUIT CLIMATE,NU,-68.5444,63.7472,34,-35.7,-37.3
2244,PANGNIRTUNG,NU,-65.7113,66.1434,23,-36.3,-37.7
2254,POND INLET CLIMATE,NU,-77.9575,72.6933,65,-40.1,-41.1
2263,RESOLUTE CARS,NU,-94.9694,74.7169,68,-41.2,-42.4
2264,RESOLUTE CS,NU,-94.9831,74.7158,30,-39,-40.1
2274,TALOYOAK A,NU,-93.5833,69.55,27,-43.1,-44.4
2293,HOLMAN CS,NT,-117.8,70.7614,30,-37.4,-38.6
2297,SACHS HARBOUR CLIMATE,NT,-125.254,71.9925,88,-38,-40.1
2329,BRETON PLOTS,AB,-114.441,53.0894,852,-29.8,-33.1
2337,BUSBY AGCM,AB,-113.922,53.9308,714,-29.4,-33
2346,CAMROSE,AB,-112.817,53.05,739,-32.2,-35.7
2365,CORONATION CLIMATE,AB,-111.449,52.0742,791,-31.4,-34.4
2381,EDMONTON CITY CENTRE AWOS,AB,-113.519,53.5719,671,-27.2,-29.5
2383,EDMONTON INTERNATIONAL CS,AB,-113.606,53.3067,715,-30.4,-33.9
2385,EDMONTON CITY CENTRE A,AB,-113.518,53.5733,671,-29.2,-31.9
2386,EDMONTON BLATCHFORD,AB,-113.517,53.5731,671,-27.3,-29.9
2387,EDMONTON NAMAO A,AB,-113.467,53.6667,688,-29.7,-32
2400,ELK ISLAND NAT PARK,AB,-112.868,53.6828,716,-32.1,-35
2468,LLOYDMINSTER A,AB,-110.072,53.3092,668,-32.7,-34.7
2478,MANNVILLE AGCM,AB,-111.255,53.4556,656,-30.2,-33
2510,RADWAY AGCM,AB,-112.879,53.995,625,-31.4,-33.8
2520,ROCKY MTN HOUSE (AUT),AB,-114.912,52.4214,988,-31.7,-35.5
2585,VIOLET GROVE CS,AB,-115.126,53.1436,914,-27.7,-30.7
2595,VEGREVILLE,AB,-112.098,53.5053,639,-31.9,-34.5
2608,EDMONTON STONY PLAIN CS,AB,-114.108,53.5472,766,-28,-30.6
2612,ESTHER 1,AB,-110.206,51.6697,707,-31,-33.7
2626,WAINWRIGHT CFB AIRFIELD 21,AB,-111.096,52.8294,686,-32.2,-35.3
2693,DRUMHELLER EAST,AB,-112.677,51.4453,678,-32.4,-35.8
2720,LACOMBE CDA 2,AB,-113.756,52.4489,860,-31.5,-35.4
2757,RED DEER A,AB,-113.893,52.1786,905,-31.2,-34.7
2787,THREE HILLS,AB,-113.206,51.7675,857,-29,-31.3
2800,SUNDRE A,AB,-114.683,51.7781,1114,-32.3,-35.7
2827,BOW ISLAND,AB,-111.45,49.7342,817,-27.4,-30.7
2846,BROOKS,AB,-111.849,50.5553,747,-30.2,-32.9
2863,CARDSTON,AB,-113.286,49.2006,1136,-27.3,-29.6
2877,CLARESHOLM,AB,-113.639,50.0036,1009,-28.9,-31.5
2887,COP UPPER,AB,-114.222,51.0761,1235,-25,-28.7
2938,LETHBRIDGE A,AB,-112.8,49.6303,929,-28.6,-31.5
2943,LETHBRIDGE CDA,AB,-112.767,49.695,910,-27.2,-30
2955,MEDICINE HAT A,AB,-110.721,50.0189,717,-30.1,-32.6
2958,MEDICINE HAT RCS,AB,-110.717,50.0251,715,-28.3,-31.1
2978,PINCHER CREEK (AUT),AB,-113.997,49.5206,1190,-29,-31.2
3010,STAVELY AAFC,AB,-113.883,50.1833,1364,-23.7,-26.9
3030,VAUXHALL CDA CS,AB,-112.133,50.05,779,-29.9,-33.6
3046,SPRINGBANK A,AB,-114.374,51.1031,1201,-29.9,-32.4
3072,MILK RIVER,AB,-112.05,49.1333,1050,-28.2,-30.8
3078,ONEFOUR CDA,AB,-110.467,49.1167,935,-27.7,-30.4
3095,BANFF CS,AB,-115.552,51.1934,1397,-28.4,-32
3106,BOW VALLEY,AB,-115.067,51.0833,1298,-29.6,-33.2
3131,CROWSNEST,AB,-114.482,49.6275,1303,-28.5,-31.9
3154,JASPER WARDEN,AB,-118.03,52.9264,1020,-31.6,-35.1
3217,WATERTON PARK GATE,AB,-113.809,49.1311,1289,-28.2,-31.9
3253,NAKISKA RIDGETOP,AB,-115.19,50.9425,2543,-24.5,-26.9
3277,BARRHEAD CS,AB,-114.448,54.0947,648,-31.6,-35.8
3316,EDSON A,AB,-116.481,53.595,925,-34.4,-38
3317,EDSON A,AB,-116.467,53.5833,927,-33.2,-36.5
3319,EDSON CLIMATE,AB,-116.453,53.5803,927,-29.7,-32.6
3336,FORT MCMURRAY A,AB,-111.217,56.65,369,-36.7,-39.2
3338,FORT MCMURRAY CS,AB,-111.213,56.6511,369,-34.1,-36.4
3378,LAC LA BICHE CLIMATE,AB,-112.024,54.7689,567,-31.8,-34.7
3399,MILDRED LAKE,AB,-111.559,57.0411,310,-34.4,-36.5
3450,SLAVE LAKE A,AB,-114.783,55.3,581,-32.3,-35.6
3475,WHITECOURT,AB,-115.784,54.1397,785,-28.8,-31.9
3476,WHITECOURT A,AB,-115.787,54.1439,782,-31.1,-33.9
3496,WILLOW CREEK 1,AB,-118.347,53.3856,1370,-30.1,-34.3
3512,BEAVERLODGE RCS,AB,-119.396,55.1967,745,-30,-32.7
3568,FORT CHIPEWYAN AWOS A,AB,-111.117,58.7672,238,-38.2,-41.3
3570,FORT VERMILION,AB,-116.04,58.3823,289,-35.4,-38.8
3584,GRANDE PRAIRIE A,AB,-118.885,55.1797,669,-35.8,-39.4
3595,HIGH LEVEL A,AB,-117.165,58.6214,338,-40,-42.8
3651,PEACE RIVER A,AB,-117.447,56.2269,571,-35.1,-38.8
3690,SPIRIT RIVER AUTO STATION,AB,-119.23,55.6947,1015,-29.1,-31.5
3738,GARDEN RIVER,AB,-113.866,58.7108,241,-39.8,-41.5
3742,COLD LAKE A,AB,-110.283,54.4167,541,-33.9,-37.3
3766,BROADVIEW,SK,-102.571,50.3681,600,-33.1,-35.3
3808,ESTEVAN A,SK,-102.967,49.2167,580,-32.3,-34.5
3839,INDIAN HEAD CDA,SK,-103.65,50.55,579,-33,-35.4
3858,LAST MOUNTAIN CS,SK,-105.25,51.4167,497,-32.9,-35.5
3884,MOOSE JAW A,SK,-105.567,50.3333,577,-31.9,-33.7
3885,MOOSE JAW CS,SK,-105.538,50.3317,577,-30,-32.3
39378784,REGINA COMPOSITE,,-104.667,50.4333,577,-33,-35.1
3973,WATROUS EAST,SK,-105.4,51.6667,526,-33.3,-35.5
39853998,WYNYARD COMPOSITE,SK,-104.2,51.7667,561,-32.8,-35.2
3992,YORKTON A,SK,-102.467,51.2667,498,-34,-36.2
4002,WEYBURN,SK,-103.8,49.7,589,-32.3,-34.4
4011,ASSINIBOIA AIRPORT,SK,-105.946,49.7292,726,-30.5,-32.8
4029,ELBOW CS,SK,-106.583,51.1333,595,-32.7,-34.9
4065,LUCKY LAKE,SK,-107.15,50.95,665,-31.3,-33.4
4068,MAPLE CREEK,SK,-109.466,49.9025,767,-30.5,-33.5
4100,SWIFT CURRENT A,SK,-107.683,50.3,817,-30.7,-32.8
4103,SWIFT CURRENT CDA,SK,-107.733,50.2667,825,-30.2,-32.8
4110,LEADER AIRPORT,SK,-109.501,50.9095,676,-32.8,-35.5
4122,CORONACH SPC,SK,-105.483,49.05,756,-30.7,-32.9
4123,CYPRESS HILLS PARK,SK,-109.514,49.6406,1271,-28.4,-30.8
4127,EASTEND CYPRESS (AUT),SK,-108.989,49.4378,1080,-28.7,-31
4143,ROCKGLEN (AUT),SK,-105.979,49.1678,917,-29.4,-31.7
4148,VAL MARIE SOUTHEAST,SK,-107.586,49.0583,796,-32.7,-35.3
4184,KINDERSLEY A,SK,-109.183,51.5167,694,-32.7,-34.9
42004202,NORTH BATTLEFORD COMPOSITE,SK,-108.256,52.7719,548,-34,-36.7
4210,ROSETOWN EAST,SK,-107.917,51.5667,586,-33.6,-36
4218,SCOTT CDA,SK,-108.835,52.3597,660,-32.1,-34.3
4270,MELFORT,SK,-104.6,52.8167,490,-33.6,-35.4
4280,OUTLOOK PFRA,SK,-107.05,51.4833,541,-30.4,-32.8
4285,PRINCE ALBERT A,SK,-105.667,53.2167,428,-36.3,-39
4333,BUFFALO NARROWS (AUT),SK,-108.421,55.8406,440,-36,-39.2
4341,COLLINS BAY,SK,-103.712,58.19,490,-37.3,-39
4358,ISLAND FALLS (AUT),SK,-102.35,55.5333,297,-34.4,-36.7
4368,LA RONGE RCS,SK,-105.27,55.1464,379,-35.2,-37.8
4369,LA RONGE A,SK,-105.267,55.15,379,-36.8,-39.1
4389,SOUTHEND,SK,-103.283,56.3333,344,-38.3,-40.9
4392,SPIRITWOOD WEST,SK,-107.55,53.3667,584,-34.4,-37.8
4396,STONY RAPIDS A,SK,-105.833,59.25,245,-41.8,-43.6
4399,WASKESIU LAKE,SK,-106.067,53.9167,569,-33.5,-36.1
4405,MEADOW LAKE,SK,-108.517,54.1333,481,-36.3,-39
4406,URANIUM CITY (AUT),SK,-108.483,59.5667,318,-40.7,-42.7
4434,NIPAWIN,SK,-104,53.3333,372,-35,-37.6
4447,HUDSON BAY(AUT),SK,-102.317,52.8167,358,-32.2,-34.1
4475,BRANDON A,MB,-99.9519,49.91,409,-33.2,-35.3
4483,CARBERRY CS,MB,-99.3574,49.9058,384,-32.8,-35
4490,CYPRESS RIVER RCS,MB,-99.0739,49.5622,374,-30.2,-32.1
4531,PORTAGE SOUTHPORT A,MB,-98.2667,49.9,270,-30.9,-32.6
4534,PORTAGE SOUTHPORT,MB,-98.2841,49.9031,273,-30,-32
4542,ROBLIN,MB,-101.363,51.1833,540,-33.4,-35.4
4553,SHOAL LAKE CS,MB,-100.603,50.4549,561,-33.7,-35.7
4581,WASAGAMING,MB,-99.9419,50.655,627,-35.7,-38.4
4586,MELITA,MB,-100.986,49.2813,446,-32.5,-35
4610,DEERWOOD RCS,MB,-98.3192,49.3998,341,-27.9,-29.5
4618,EMERSON AUT,MB,-97.2375,49,242,-30.8,-33.6
4628,GRETNA (AUT),MB,-97.56,49.0308,253,-31.4,-33.8
4652,MORDEN CDA CS,MB,-98.0839,49.1876,298,-28.1,-30.2
4674,PILOT MOUND (AUT),MB,-98.9049,49.191,470,-31.6,-33.6
4703,SPRAGUE,MB,-95.5983,49.0236,329,-33.9,-37
4742,WINNIPEG THE FORKS,MB,-97.1294,49.8883,230,-27.9,-30
4756,CARMAN U OF M CS,MB,-98.0297,49.4981,268,-31,-33.6
4770,BERENS RIVER CS,MB,-97.022,52.3597,222,-33.5,-35.8
4786,FISHER BRANCH (AUT),MB,-97.5545,51.0834,253,-33.2,-35.7
4787,GIMLI,MB,-97.0167,50.6333,223,-33,-34.6
4790,GIMLI HARBOUR CS,MB,-96.9822,50.6311,217,-29.9,-31.9
47914793,GIMLI COMPOSITE,MB,-97.05,50.6333,230,-33,-35.5
4798,GREAT FALLS CLIMATE,MB,-95.9772,50.5222,253,-31.2,-33.4
4811,GRAND RAPIDS (AUT),MB,-99.2678,53.1864,223,-35.1,-37.3
4825,VICTORIA BEACH (AUT),MB,-96.5667,50.7,220,-30.1,-32.6
4828,PINAWA,MB,-96.0647,50.1772,268,-33.9,-36.7
4843,DAUPHIN A,MB,-100.05,51.1,305,-32.2,-34.3
4844,DAUPHIN CS,MB,-100.057,51.1004,305,-31.2,-33.4
4848,DELTA MARSH CS,MB,-98.3822,50.1826,248,-30.8,-33.7
4928,MCCREARY,MB,-99.53,50.7119,351,-28.9,-31.5
4934,OAKPOINT MARINE,MB,-98.0367,50.4995,250,-31.7,-34.2
4935,SWAN RIVER RCS,MB,-101.233,52.115,335,-32.9,-34.2
4937,FLIN FLON,MB,-101.683,54.6833,304,-35,-37.5
49474950,THE PAS COMPOSITE,MB,-101.1,53.9667,270,-34.4,-36.3
4957,CHURCHILL A,MB,-94.0664,58.7392,29,-38.2,-39.5
4962,CHURCHILL CLIMATE,MB,-94.0667,58.7333,29,-34.9,-36.2
4968,GILLAM,MB,-94.7042,56.3589,145,-36.3,-38.5
4976,ISLAND LAKE A,MB,-94.65,53.85,236,-36.5,-38
4978,KELSEY DAM CS,MB,-96.5097,56.0375,183,-36.3,-38.5
4988,LYNN LAKE A,MB,-101.076,56.8639,357,-39.5,-41.4
5016,TADOULE LAKE CS,MB,-98.5017,58.7158,262,-38.4,-39.7
5018,THOMPSON A,MB,-97.8625,55.8033,224,-38.9,-41.1
5029,NORWAY HOUSE A,MB,-97.85,53.95,224,-37.4,-39.4
5034,BIG TROUT LAKE,ON,-89.8667,53.8333,224,-37.9,-39
5035,BIG TROUT LAKE READAC,ON,-89.8956,53.8156,222,-37,-39.3
5040,EAR FALLS (AUT),ON,-93.2214,50.6306,363,-31.2,-33.3
5046,LANSDOWNE HOUSE (AUT),ON,-87.9361,52.1961,253,-37.1,-40
5050,PEAWANUCK (AUT),ON,-85.4333,54.9833,53,-37.3,-39.3
5052,PICKLE LAKE (AUT),ON,-90.2178,51.4492,391,-34.1,-36.3
5074,ATIKOKAN (AUT),ON,-91.6281,48.7611,389,-33.5,-35.8
5079,FORT FRANCES RCS,ON,-93.4389,48.6511,342,-33.6,-36.7
5110,KENORA A,ON,-94.3653,49.7903,410,-31.7,-33.5
5118,RAWSON LAKE (AUT),ON,-93.7328,49.6642,435,-30.6,-32.8
5123,SIOUX LOOKOUT A,ON,-91.9,50.1167,383,-33.9,-36
5148,CAMERON FALLS (AUT),ON,-88.3447,49.1539,233,-28.7,-30.3
5157,GERALDTON A,ON,-86.9306,49.7828,348,-36,-38.8
5204,PUKASKWA (AUT),ON,-86.2947,48.5883,208,-28,-30
52245228,THUNDER BAY COMPOSITE,ON,-89.3272,48.3694,199,-29.9,-32.3
5234,UPSALA (AUT),ON,-90.4667,49.0333,489,-33.9,-36.6
5283,SAULT STE MARIE A,ON,-84.5094,46.4833,192,-24.8,-28
5292,WAWA (AUT),ON,-84.7833,47.9667,287,-31,-33.6
5297,KILLARNEY (AUT),ON,-81.4833,45.9667,196,-23.6,-25.6
5329,SUDBURY A,ON,-80.7978,46.6256,348,-28.7,-30.7
5345,EARLTON AWOS,ON,-79.8489,47.695,243,-31.6,-34.4
5359,KAPUSKASING A,ON,-82.4675,49.4139,227,-34.4,-36.6
5362,KAPUSKASING CDA ON,ON,-82.4436,49.4064,218,-35,-37.9
5365,KIRKLAND LAKE CS,ON,-80,48.15,324,-33.6,-37.5
5376,MOOSONEE A,ON,-80.6075,51.2914,9,-34.8,-36.5
5378,MOOSONEE RCS,ON,-80.6181,51.2917,9,-34,-35.8
5380,NAGAGAMI (AUT),ON,-84.1637,49.7468,264,-35.5,-38.1
5393,TIMMINS VICTOR POWER A,ON,-81.3767,48.5697,295,-33.8,-36.3
5402,ALGONQUIN PARK EAST GATE,ON,-78.2667,45.5333,397,-31,-33.5
5418,NORTH BAY A,ON,-79.4228,46.3636,370,-28.3,-30.8
5431,GORE BAY A,ON,-82.5667,45.8833,194,-25,-27.1
5460,BROCKVILLE CLIMATE,ON,-75.7483,44.6353,120,-24.9,-27.6
5513,GRENADIER ISLAND,ON,-75.85,44.4167,82,-23.2,-25.4
5520,KEMPTVILLE CS,ON,-75.6333,45,99,-25.2,-27.2
5522,KINGSTON CLIMATE,ON,-76.5994,44.2233,93,-22.5,-24.5
5571,OTTAWA CDA RCS,ON,-75.7167,45.3833,79,-24.4,-26.1
5595,PETAWAWA A,ON,-77.3167,45.95,130,-29.4,-31.9
5660,BEATRICE CLIMATE,ON,-79.4028,45.1403,297,-28.1,-31.6
5685,COLLINGWOOD,ON,-80.2167,44.5,180,-18.3,-20.7
5721,LAGOON CITY,ON,-79.2167,44.5472,221,-24.5,-27
5753,PARRY SOUND CCG,ON,-80.0442,45.3442,176,-25.6,-27.9
5774,BARRIE-ORO,ON,-79.55,44.4833,289,-24.9,-27.8
5808,WIARTON A,ON,-81.1072,44.7458,222,-18.8,-20.9
5818,EGBERT CS,ON,-79.7833,44.2333,251,-22.3,-24.6
5851,GODERICH,ON,-81.7167,43.7667,214,-16.7,-19.2
5882,SARNIA CLIMATE,ON,-82.3,43,181,-16.2,-18.4
5893,TOBERMORY RCS,ON,-81.6333,45.2333,214,-18.9,-21.2
5922,DELHI CS,ON,-80.55,42.8667,232,-19.1,-22.1
5945,HARROW CDA AUTO,ON,-82.9,42.0333,191,-15.8,-18.4
5984,PORT WELLER (AUT),ON,-79.2167,43.25,79,-13.5,-15.2
5991,RIDGETOWN RCS,ON,-81.8833,42.45,206,-19.3,-21.8
6025,VINELAND STATION RCS,ON,-79.4,43.1833,79,-15.3,-16.8
6035,WELLAND-PELHAM,ON,-79.3333,42.9667,178,-17,-19.8
6038,WINDSOR A,ON,-82.9556,42.2756,190,-16.6,-19
6047,PORT COLBORNE (AUT),ON,-79.25,42.8667,184,-15.2,-16.6
6049,ERIEAU (AUT),ON,-81.9001,42.2501,178,-15,-17.1
6051,POINT PELEE CS,ON,-82.5189,41.9486,177,-16,-18.5
6084,ELORA RCS,ON,-80.4167,43.65,376,-20.8,-22.6
6121,LONDON CS,ON,-81.15,43.0333,278,-18.9,-21.2
6138,MOUNT FOREST (AUT),ON,-80.75,43.9833,415,-21,-23.9
6220,BURLINGTON PIERS (AUT),ON,-79.8,43.3,77,-15.5,-17.4
6242,COBOURG (AUT),ON,-78.1667,43.95,78,-19.7,-21.9
6273,HAMILTON A,ON,-79.9342,43.1717,238,-18.5,-20.5
6279,HAMILTON RBG CS,ON,-79.9083,43.2917,102,-17.5,-19.9
6398,POINT PETRE (AUT),ON,-77.15,43.8333,79,-20,-22.3
6438,TORONTO CITY,ON,-79.4,43.6667,113,-17.1,-19.4
6439,TORONTO CITY CENTRE,ON,-79.3961,43.6275,77,-16,-18
6479,TORONTO ISLAND A,ON,-79.395,43.6286,77,-16.7,-19.3
6520,TRENTON A,ON,-77.5333,44.1167,86,-22.4,-24.9
6551,TORONTO BUTTONVILLE A,ON,-79.37,43.8622,198,-20.3,-22.9
6604,PETERBOROUGH TRENT U,ON,-78.3,44.35,216,-23.6,-26.5
